smiles,±Í«©,Caspase-3/7 HepG2,CYP1A2 Antag,CYP2C19 Antag,CYP2C9 Antag,CYP3A4 Antag,CYP3A7 Antag,ARE Agon,Mito Membrane Disrupt,ER Stress,ER-beta Agon,PPARg Agon,RAR Agon,ERR Antag,GR Antag,PPARd Antag,PPARg Antag,TR Antag,MDR-1,HPGD Inhib
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,1,,,,,,,,,,,,,,,,,,,
CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,1,0,,1,,,1,,0,0,0,0,0,0,1,0,0,0,,0
C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,0,,,,,,,,0,,,0,,,,,,0,,0
CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,1,0,0,,1,1,1,1,0,0,0,0,0,1,,0,0,,,
C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,0,1,0,1,1,1,,0,,0,,,,1,,,,,,0
CC#CC1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,0,0,,1,1,1,1,1,0,0,0,,,,1,,1,,1,0
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,1,1,,1,0,1,1,0,0,0,,,,,0,1,,,,0
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,1,0,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,,
CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,1,,,,,,0,,,,,,,,,,,,,
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,0,0,0,1,0,0,,0,0,0,0,,0,0,0,,0,,0
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,0,0,,,0,,0,0,0,0,0,0,0,,,,0,0,,0
CC(C)NCC(C1=CC(=C(C=C1)O)O)O,0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0,,
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,1,0,,1,1,0,,,0,,0,,,1,,,,1,1,0
CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,0,,,,,,,,,,,,,,,,,,1,
C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,1,,,,,,,,,,,,,,,,,,,
CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,1,0,1,1,,0,1,0,0,0,0,0,,0,,,,,,
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,1,0,1,1,1,1,1,1,0,,0,0,1,1,0,0,1,0,1,
COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,1,,,,,,,,,,,,,,,,,,,
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,1,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,,,0
CCCN1CC(CC2C1CC3=CNC4=CC=CC2=C34)CSC,0,,,,,,,,,,,,,,,,,,,0
CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C,1,0,,1,1,0,1,,0,,1,0,0,1,1,,0,,,0
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,1,,,,,,,,,,,,,,,,,,,0
CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,0,0,1,1,1,1,1,,0,0,0,,,1,,,,,,
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,1,0,,0,,0,,1,0,0,1,0,0,1,1,,0,1,,0
C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,0,0,1,1,0,,1,0,0,0,0,0,0,,0,0,0,0,,0
C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,1,0,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,,,0
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0,0,0,1,1,,,0,0,,,0,0,,1,,0,,,
CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,1,,,,,,,,,,,,,,,,,,,
